Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_DONT_MAP_MASTER;DTX_SECTIONSFIXED;DTX_ALPHA_MASK;DTX_FULLBRITE;Unknown;Surface Flag;Texture Group;Software Alpha Cutoff;Software Average Alpha;Unknown1;Unknown2;Unknown3;Unknown4;Unknown5;Unknown6;Unknown7;Unknown8;Light String
Blood2\SKINS\CHARACTERS\CALEB1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;237;217;29;60;102;145;
Blood2\SKINS\CHARACTERS\CALMULTI_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;145;1;34;142;132;192;
Blood2\SKINS\CHARACTERS\CALMULTI_G.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;32;84;30;235;197;143;
Blood2\SKINS\CHARACTERS\CALMULTI_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;181;2;27;233;110;117;
Blood2\SKINS\CHARACTERS\CALMULTI_Y.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;26;203;29;205;19;156;
Blood2\SKINS\CHARACTERS\CALREV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;93;193;32;155;194;181;
Blood2\SKINS\CHARACTERS\CALTEAM_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;138;204;31;137;149;187;
Blood2\SKINS\CHARACTERS\CALTEAM_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;89;231;26;194;90;136;
Blood2\SKINS\CHARACTERS\GABMULTI_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;96;24;32;161;71;203;
Blood2\SKINS\CHARACTERS\GABMULTI_G.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;234;2;27;109;155;136;
Blood2\SKINS\CHARACTERS\GABMULTI_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;157;234;25;187;24;129;
Blood2\SKINS\CHARACTERS\GABMULTI_Y.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;235;179;28;24;176;128;
Blood2\SKINS\CHARACTERS\GABREV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;78;214;32;157;216;183;
Blood2\SKINS\CHARACTERS\GABRIELLA.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;236;72;27;242;7;144;
Blood2\SKINS\CHARACTERS\GABTEAM_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;135;203;31;101;230;196;
Blood2\SKINS\CHARACTERS\GABTEAM_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;76;231;25;39;248;131;
Blood2\SKINS\CHARACTERS\ISHMAEL.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;188;122;29;67;49;173;
Blood2\SKINS\CHARACTERS\ISHMULTI_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;244;179;32;146;55;219;
Blood2\SKINS\CHARACTERS\ISHMULTI_G.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;138;106;30;96;36;154;
Blood2\SKINS\CHARACTERS\ISHMULTI_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;251;124;25;64;217;146;
Blood2\SKINS\CHARACTERS\ISHMULTI_Y.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;228;210;28;69;74;145;
Blood2\SKINS\CHARACTERS\ISHREV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;0;0;0;110;224;32;244;141;182;
Blood2\SKINS\CHARACTERS\ISHTEAM_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;102;65;33;112;150;197;
Blood2\SKINS\CHARACTERS\ISHTEAM_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;11;61;26;57;194;137;
Blood2\SKINS\CHARACTERS\OPHELIA.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;111;122;37;238;105;197;
Blood2\SKINS\CHARACTERS\OPHMULTI_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;169;2;33;183;39;213;
Blood2\SKINS\CHARACTERS\OPHMULTI_G.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;49;131;27;26;30;135;
Blood2\SKINS\CHARACTERS\OPHMULTI_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;86;127;25;242;243;117;
Blood2\SKINS\CHARACTERS\OPHMULTI_Y.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;57;175;33;193;245;143;
Blood2\SKINS\CHARACTERS\OPHREV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;13;192;32;195;199;181;
Blood2\SKINS\CHARACTERS\OPHTEAM_B.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;212;133;32;47;174;216;
Blood2\SKINS\CHARACTERS\OPHTEAM_R.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;198;50;26;210;37;127;
Blood2\SKINS\DEFAULT.DTX;0;DTX_VERSION_LT1;128;128;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;238;199;66;190;174;424;
Blood2\SKINS\ENEMIES\ANCIENTONE.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;128;0;0;100;205;19;73;118;61;
Blood2\SKINS\ENEMIES\BEHEMOTH.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;217;13;31;49;73;166;
Blood2\SKINS\ENEMIES\BIRD.DTX;0;DTX_VERSION_LT1;128;128;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;213;61;31;210;137;147;
Blood2\SKINS\ENEMIES\BONELEECH.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;95;62;24;175;167;107;
Blood2\SKINS\ENEMIES\BONELEECH_PV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;33;103;23;45;101;102;
Blood2\SKINS\ENEMIES\BUG.DTX;0;DTX_VERSION_LT1;128;128;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\ENEMIES\BURNED.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\ENEMIES\DEATHSHROUD.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;0;0;0;121;237;29;223;28;170;
Blood2\SKINS\ENEMIES\DRUDGE_LORD.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;136;143;29;216;85;145;
Blood2\SKINS\ENEMIES\DRUDGEPRIEST.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;136;248;27;57;48;108;
Blood2\SKINS\ENEMIES\F_CIVILIAN1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;35;150;37;220;67;199;
Blood2\SKINS\ENEMIES\F_CIVILIAN2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;201;7;34;169;49;180;
Blood2\SKINS\ENEMIES\F_CULTIST1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;139;149;32;253;17;145;
Blood2\SKINS\ENEMIES\F_CULTIST2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;86;125;27;38;91;145;
Blood2\SKINS\ENEMIES\F_CULTIST3.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;203;246;51;125;2;266;
Blood2\SKINS\ENEMIES\FANATIC.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;4;8;0;0;0;56;39;34;206;109;190;
Blood2\SKINS\ENEMIES\FANATIC2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;4;8;0;0;0;48;171;45;41;136;261;
Blood2\SKINS\ENEMIES\FANATIC3.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;4;8;0;0;0;111;38;34;196;105;198;
Blood2\SKINS\ENEMIES\FIIK1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;78;248;33;239;224;135;
Blood2\SKINS\ENEMIES\GIBS.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;78;248;33;239;224;135;
Blood2\SKINS\ENEMIES\GIDEON.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;0;0;0;101;240;64;142;115;405;
Blood2\SKINS\ENEMIES\GIDEONE.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101100000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;DTX_FULLBRITE ;0;0;4;8;0;0;0;193;101;42;63;75;224;
Blood2\SKINS\ENEMIES\GREMLIN.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;0;0;0;20;254;50;219;14;235;
Blood2\SKINS\ENEMIES\LABTECH1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;130;157;51;168;134;270;
Blood2\SKINS\ENEMIES\LABTECH2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;158;63;56;223;228;294;
Blood2\SKINS\ENEMIES\LABTECH3.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;43;161;48;246;45;267;
Blood2\SKINS\ENEMIES\LEECH.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;104;15;41;249;250;224;
Blood2\SKINS\ENEMIES\M_CIVILIAN1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;53;191;54;65;195;292;
Blood2\SKINS\ENEMIES\M_CIVILIAN2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;0;0;0;0;38;38;48;9;25;259;
Blood2\SKINS\ENEMIES\M_CIVILIAN3.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;167;87;35;105;119;167;
Blood2\SKINS\ENEMIES\M_CIVILIAN4.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;1;45;41;194;139;226;
Blood2\SKINS\ENEMIES\M_CULTIST1.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;30;214;27;152;95;128;
Blood2\SKINS\ENEMIES\M_CULTIST2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;187;164;28;20;236;154;
Blood2\SKINS\ENEMIES\M_CULTIST3.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;208;102;31;175;83;154;
Blood2\SKINS\ENEMIES\M_CULTIST4.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;205;245;26;198;80;128;
Blood2\SKINS\ENEMIES\MADSCIENTIST.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;107;9;56;236;96;316;
Blood2\SKINS\ENEMIES\NAGA.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;0;0;0;253;70;33;49;103;154;
Blood2\SKINS\ENEMIES\NIGHTMARE.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;8;0;0;0;67;247;21;81;80;82;
Blood2\SKINS\ENEMIES\OLDSCHOOL.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;0;0;0;0;126;124;33;153;170;182;
Blood2\SKINS\ENEMIES\PROPHET.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;200;231;28;108;76;154;
Blood2\SKINS\ENEMIES\RAT.DTX;0;DTX_VERSION_LT1;128;128;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;213;61;31;210;137;147;
Blood2\SKINS\ENEMIES\SHIKARI.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;9;137;28;51;79;138;
Blood2\SKINS\ENEMIES\SKINLESS.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\ENEMIES\SOULDRUDGE.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;57;176;39;253;11;226;
Blood2\SKINS\ENEMIES\SOULDRUDGE2.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;117;141;33;173;48;168;
Blood2\SKINS\ENEMIES\SOULDRUDGE3.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;172;49;36;66;239;175;
Blood2\SKINS\ENEMIES\THEHAND.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;35;133;47;125;81;215;
Blood2\SKINS\ENEMIES\THEHAND_PV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;35;133;47;125;81;215;
Blood2\SKINS\ENEMIES\THIEF.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;190;85;21;167;126;81;
Blood2\SKINS\ENEMIES\THIEF_PV.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;190;85;21;167;126;81;
Blood2\SKINS\ENEMIES\UNDEAD_GIDEON.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;4;8;0;0;0;158;134;26;112;195;106;
Blood2\SKINS\ENEMIES\WURM.DTX;0;DTX_VERSION_LT1;256;256;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;4;8;0;0;0;92;16;42;105;168;201;
Blood2\SKINS\ENEMIES\ZEALOT.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;178;4;32;136;43;162;
Blood2\SKINS\ENEMIES\ZEALOTDIVINE.DTX;0;DTX_VERSION_LT1;256;256;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;4;0;0;0;0;30;95;30;10;255;155;
Blood2\SKINS\EXPLOSIONS\BLACKHOLE.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;26;36;45;239;197;389;
Blood2\SKINS\EXPLOSIONS\BLACKHOLE2.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;71;209;64;220;12;621;
Blood2\SKINS\EXPLOSIONS\BMOTHBALL.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\EXPLOSIONS\DIVINEBALL.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;105;144;2;14;248;6;
Blood2\SKINS\EXPLOSIONS\EBALLBIG.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;2;8;0;0;0;226;81;97;10;176;836;
Blood2\SKINS\EXPLOSIONS\EBALLSMALL.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;2;8;0;0;0;226;81;97;10;176;836;
Blood2\SKINS\EXPLOSIONS\ELECBALL.DTX;0;DTX_VERSION_LT1;64;64;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;2;8;0;0;0;176;252;94;177;71;685;
Blood2\SKINS\EXPLOSIONS\EXPLOSION.DTX;0;DTX_VERSION_LT1;64;64;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;2;8;0;0;0;24;184;41;80;95;118;
Blood2\SKINS\EXPLOSIONS\EXPLOSION1.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;24;184;41;80;95;118;
Blood2\SKINS\EXPLOSIONS\EXPLOSION_1.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;2;8;0;0;0;95;31;41;235;11;139;
Blood2\SKINS\EXPLOSIONS\EXPLOSION_PULSE.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;249;128;36;206;192;187;
Blood2\SKINS\EXPLOSIONS\LEECHBALL.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;24;184;41;80;95;118;
Blood2\SKINS\EXPLOSIONS\LEECHBALL2.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;24;184;41;80;95;118;
Blood2\SKINS\EXPLOSIONS\RIFT.DTX;0;DTX_VERSION_LT1;128;128;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;10;102;31;118;246;104;
